Timestamp,Transcript,Summary,Sentiment
2025-09-18 21:12:27,"Agent: Hello, how can I help? Customer: Hi, my internet was down but it's working now. Just wanted to say thanks for fixing it so quickly! Agent: You're welcome! Glad we could help.",Customer reported internet service outage that was resolved quickly.,positive
2025-09-18 21:12:34,"Agent: Hello, how can I help? Customer: I'm really frustrated! My service has been down for 2 days and nobody called me back! Agent: I sincerely apologize. Let me fix this right away. Customer: This is unacceptable!","Customer reported an ongoing service outage lasting 2 days, with no callback from the service provider.",neutral
2025-09-18 21:12:48,"Agent: Hello, how can I help? Customer: Hi, I want to know about your pricing plans. Agent: Sure, our basic plan is $29/month. Customer: What's included? Agent: Unlimited calls and 5GB data.",Customer inquired about pricing plans and requested information on the basic plan's inclusions.,neutral
2025-09-18 21:12:54,"Hi, I was trying to book a slot yesterday but the payment failed and I'm not sure what went wrong.",Customer experienced a payment failure while attempting to book a slot.,negative
2025-09-18 21:12:58,I've been trying to reschedule my appointment for 3 days but your website keeps crashing when I submit the form.,Customer is experiencing issues with the website crashing when attempting to reschedule an appointment.,negative
2025-09-18 21:13:04,"Agent: Hello, how can I help? Customer: I'm really frustrated! My service has been down for 2 days and nobody called me back! Agent: I sincerely apologize. Let me fix this right away. Customer: This is unacceptable!",Customer reported internet service outage lasting 2 days and expressed dissatisfaction with lack of follow-up communication.,negative
2025-09-18 21:13:10,"Agent: Hello, how can I help? Customer: I'm really frustrated! My service has been down for 2 days and nobody called me back! Agent: I sincerely apologize. Let me fix this right away. Customer: This is unacceptable!",Customer reported experiencing a 2-day service outage with no follow-up call from the provider.,negative
2025-09-18 21:14:29,"Agent: Hello, how can I help? Customer: Hi, my internet was down but it's working now. Just wanted to say thanks for fixing it so quickly! Agent: You're welcome! Glad we could help.",Customer reported internet service outage and expressed gratitude for prompt resolution.,positive
2025-09-18 21:14:35,"Agent: Hello, how can I help? Customer: I'm really frustrated! My service has been down for 2 days and nobody called me back! Agent: I sincerely apologize. Let me fix this right away. Customer: This is unacceptable!",Customer reported a 2-day service outage with no follow-up call from the company.,negative
2025-09-18 21:14:41,"Agent: Hello, how can I help? Customer: Hi, I want to know about your pricing plans. Agent: Sure, our basic plan is $29/month. Customer: What's included? Agent: Unlimited calls and 5GB data.",Customer inquired about pricing plans and requested information on the basic plan's inclusions.,neutral
2025-09-18 21:14:46,"Hi, I was trying to book a slot yesterday but the payment failed and I'm not sure what went wrong.",Customer experienced a payment failure while attempting to book a slot.,negative
2025-09-18 21:14:50,My internet has been down since this morning and I work from home. This is really affecting my productivity.,Customer reported internet service outage affecting work productivity.,negative
2025-09-18 21:14:55,I got charged twice this month and need help understanding why this happened.,Customer reported duplicate charges on their account.,negative
2025-09-18 21:15:03,I've been trying to reschedule my appointment for 3 days but your website keeps crashing when I submit the form.,Customer reported issues with website crashing when attempting to reschedule an appointment.,negative
2025-09-18 21:15:29,"there was an error

",Customer experienced an unknown error.,neutral
2025-09-18 21:15:39,"shit, there was an error

",Customer encountered an error.,negative
2025-09-18 21:19:14,"Agent: Hello, how can I help? Customer: Hi, my internet was down but it's working now. Just wanted to say thanks for fixing it so quickly! Agent: You're welcome! Glad we could help.",Customer reported a resolved internet service outage and expressed gratitude for the prompt resolution.,positive
2025-09-18 21:19:31,"Agent: Hello, how can I help? Customer: I'm really frustrated! My service has been down for 2 days and nobody called me back! Agent: I sincerely apologize. Let me fix this right away. Customer: This is unacceptable!",Customer reported experiencing a 2-day service outage and expressed dissatisfaction with the lack of follow-up communication.,negative
2025-09-18 21:19:52,"Agent: Hello, how can I help? Customer: Hi, I want to know about your pricing plans. Agent: Sure, our basic plan is $29/month. Customer: What's included? Agent: Unlimited calls and 5GB data.",Customer inquired about pricing plans and requested information on the basic plan's inclusions.,neutral
2025-09-18 21:28:04,"Agent: Hello, how can I help? Customer: Hi, my internet was down but it's working now. Just wanted to say thanks for fixing it so quickly! Agent: You're welcome! Glad we could help.",Customer reported a resolved internet service outage and expressed gratitude for the prompt resolution.,positive
2025-09-18 21:28:30,"Agent: Hello, how can I help? Customer: I'm really frustrated! My service has been down for 2 days and nobody called me back! Agent: I sincerely apologize. Let me fix this right away. Customer: This is unacceptable!",Customer reported experiencing a 2-day service outage and expressed dissatisfaction with the lack of follow-up communication.,negative
2025-09-18 21:28:57,"Agent: Hello, how can I help? Customer: Hi, I want to know about your pricing plans. Agent: Sure, our basic plan is $29/month. Customer: What's included? Agent: Unlimited calls and 5GB data.",Customer inquired about pricing plans and requested information on the basic plan's inclusions.,neutral
